编号,部门/模块,工作项名称,负责蜂工,优先级,状态,预计工时,截止日期,依赖项,交付物,备注
T001,战略与规划,终极方案定稿,经济师📊,P0,✅已完成,16h,2026-02-10,,终极方案文档,已完成
T002,战略与规划,白皮书内容撰写,墨笔✍️,P0,✅已完成,24h,2026-02-12,,白皮书草稿,已完成
T003,战略与规划,代币经济学设计,经济师📊,P0,✅已完成,20h,2026-02-12,,代币经济模型文档,已完成
T004,战略与规划,竞品分析报告,财奴💰,P0,✅已完成,12h,2026-02-10,,竞品分析报告,已完成
T005,战略与规划,路线图规划,小嘀嗒💫,P0,✅已完成,8h,2026-02-10,,路线图文档,已完成
T006,品牌与设计,Logo设计（主版/简化/横版）,首席设计师🎨,P0,🔄执行中,12h,2026-02-22,,Logo源文件+PNG/SVG,含各场景应用版本
T007,品牌与设计,品牌VI系统（色彩/字体/UI组件）,首席设计师🎨,P0,🔄执行中,16h,2026-02-23,T006,VI规范文档,深蓝#102070+品牌金#C0A060
T008,品牌与设计,网站首页UI设计稿,首席设计师🎨,P0,⏳待启动,12h,2026-02-24,T007,Figma设计稿,
T009,品牌与设计,网站内页UI设计稿（关于/白皮书/路线图/代币经济）,首席设计师🎨,P1,⏳待启动,16h,2026-02-25,T007,Figma设计稿,4个页面
T010,品牌与设计,功能页UI设计稿（学习中心/AI工具箱/教学广场/创作者市场）,首席设计师🎨,P1,⏳待启动,20h,2026-02-26,T007,Figma设计稿,4个核心功能页
T011,品牌与设计,功能页UI设计稿（个人中心/排行榜/签到板/社区）,首席设计师🎨,P1,⏳待启动,16h,2026-02-26,T007,Figma设计稿,4个辅助功能页
T012,品牌与设计,注册登录/设置页UI设计稿,首席设计师🎨,P0,⏳待启动,8h,2026-02-24,T007,Figma设计稿,
T013,品牌与设计,白皮书排版设计,首席设计师🎨,P1,⏳待启动,12h,2026-02-27,T006;T002,白皮书PDF,中英双版
T014,品牌与设计,社交媒体视觉素材（头像/封面/模板）,首席设计师🎨,P0,⏳待启动,8h,2026-02-25,T006,头像+封面+发帖模板,Twitter/Discord/Telegram
T015,品牌与设计,宣传海报/Banner设计,首席设计师🎨,P1,⏳待启动,8h,2026-02-27,T007,海报+Banner源文件,上线预热用
T016,品牌与设计,品牌Guidelines文档,首席设计师🎨,P2,⏳待启动,8h,2026-02-28,T006;T007,品牌手册PDF,
T017,产品设计,网站信息架构（页面结构+导航）,小嘀嗒💫,P0,🔄执行中,8h,2026-02-21,,信息架构图+导航方案,
T018,产品设计,用户流程图（注册→学习→挖矿→兑换）,小嘀嗒💫,P0,⏳待启动,8h,2026-02-22,T017,用户流程图,覆盖全链路
T019,产品设计,学习中心PRD,小嘀嗒💫,P0,⏳待启动,8h,2026-02-22,T017,PRD文档,Phase1核心
T020,产品设计,AI工具箱PRD,小嘀嗒💫,P0,⏳待启动,8h,2026-02-22,T017,PRD文档,Phase1核心
T021,产品设计,教学广场PRD,小嘀嗒💫,P1,⏳待启动,6h,2026-02-23,T017,PRD文档,Phase1简化版
T022,产品设计,创作者市场PRD,小嘀嗒💫,P1,⏳待启动,6h,2026-02-23,T017,PRD文档,Phase1简化版
T023,产品设计,个人中心/排行榜/签到板PRD,小嘀嗒💫,P0,⏳待启动,8h,2026-02-22,T017,PRD文档,
T024,产品设计,社区模块PRD,小嘀嗒💫,P1,⏳待启动,4h,2026-02-23,T017,PRD文档,
T025,产品设计,积分系统详细设计,经济师📊,P0,🔄执行中,12h,2026-02-22,T003,积分规则文档+计算公式,四维挖矿核心
T026,产品设计,推荐机制设计,经济师📊,P1,⏳待启动,8h,2026-02-24,T025,推荐规则文档,
T027,产品设计,通知系统设计,小嘀嗒💫,P2,⏳待启动,4h,2026-02-25,,通知规则文档,
T028,产品设计,中英双语方案,墨笔✍️,P1,⏳待启动,4h,2026-02-23,,i18n方案文档,
T029,前端开发,技术选型（框架/部署方案）,小小技🔨,P0,✅已完成,4h,2026-02-15,,技术选型文档,Next.js+Vercel
T030,前端开发,项目脚手架搭建+基础组件库,小小技🔨,P0,🔄执行中,12h,2026-02-22,T029;T007,代码仓库+组件库,
T031,前端开发,首页开发,小小技🔨,P0,⏳待启动,12h,2026-02-25,T008;T030,首页代码,
T032,前端开发,注册登录页开发,小小技🔨,P0,⏳待启动,8h,2026-02-24,T012;T030,注册登录代码,含钱包连接
T033,前端开发,关于页开发,小小技🔨,P1,⏳待启动,4h,2026-02-26,T009;T030,页面代码,
T034,前端开发,白皮书页开发,小小技🔨,P1,⏳待启动,4h,2026-02-26,T009;T030,页面代码,
T035,前端开发,路线图页开发,小小技🔨,P1,⏳待启动,4h,2026-02-26,T009;T030,页面代码,
T036,前端开发,代币经济页开发,小小技🔨,P1,⏳待启动,4h,2026-02-26,T009;T030,页面代码,
T037,前端开发,学习中心前端,小小技🔨,P0,⏳待启动,16h,2026-02-27,T010;T019;T030,页面代码,Phase1核心功能
T038,前端开发,AI工具箱前端,小小技🔨,P0,⏳待启动,12h,2026-02-27,T010;T020;T030,页面代码,Phase1核心功能
T039,前端开发,教学广场前端,小小技🔨,P1,⏳待启动,12h,2026-02-28,T010;T021;T030,页面代码,
T040,前端开发,创作者市场前端,小小技🔨,P1,⏳待启动,12h,2026-02-28,T010;T022;T030,页面代码,
T041,前端开发,个人中心/Dashboard前端,小小技🔨,P0,⏳待启动,12h,2026-02-27,T011;T023;T030,页面代码,
T042,前端开发,排行榜前端,小小技🔨,P1,⏳待启动,6h,2026-02-27,T011;T023;T030,页面代码,
T043,前端开发,AI签到板前端,小小技🔨,P0,⏳待启动,6h,2026-02-26,T011;T023;T030,页面代码,每日签到
T044,前端开发,社区前端,小小技🔨,P2,⏳待启动,10h,2026-02-28,T011;T024;T030,页面代码,Phase1可简化
T045,前端开发,设置页前端,小小技🔨,P1,⏳待启动,4h,2026-02-27,T012;T030,页面代码,
T046,前端开发,响应式适配（移动端）,小小技🔨,P0,⏳待启动,12h,2026-03-01,T031-T045,响应式代码,全站移动端适配
T047,前端开发,中英双语实现（i18n）,小小技🔨,P1,⏳待启动,8h,2026-03-01,T028;T031-T045,i18n代码+翻译文件,
T048,前端开发,SEO优化,小小技🔨,P2,⏳待启动,6h,2026-03-01,T031-T045,SEO配置,meta/sitemap/SSR
T049,后端开发,技术架构设计,小技💻,P0,🔄执行中,8h,2026-02-21,,架构设计文档,
T050,后端开发,数据库设计,小技💻,P0,⏳待启动,12h,2026-02-22,T049,ER图+DDL脚本,
T051,后端开发,用户系统（注册/登录/OAuth/钱包绑定）,小技💻,P0,⏳待启动,16h,2026-02-25,T050,API+代码,含邮箱+钱包登录
T052,后端开发,KYC系统,小技💻,P2,⏳待启动,8h,2026-03-15,T051,KYC流程代码,Phase2再做也行
T053,后端开发,积分系统（四维挖矿计算+记录）,小技💻,P0,⏳待启动,20h,2026-02-27,T025;T050,积分引擎代码,Phase1核心
T054,后端开发,内容管理系统（课程/文章/视频）,小技💻,P0,⏳待启动,16h,2026-02-27,T050,CMS代码,
T055,后端开发,AI工具集成（API代理层）,小技💻,P0,⏳待启动,12h,2026-02-26,T050,API代理代码,OpenAI/Gemini等
T056,后端开发,创作者市场后端（上架/购买/打赏/抽成）,小技💻,P1,⏳待启动,16h,2026-02-28,T050;T053,市场后端代码,
T057,后端开发,推荐算法,小技💻,P2,⏳待启动,8h,2026-03-05,T054,推荐服务代码,Phase1可用简单规则
T058,后端开发,排行榜系统,小技💻,P1,⏳待启动,6h,2026-02-27,T053,排行榜API,
T059,后端开发,通知系统（站内+邮件+Push）,小技💻,P2,⏳待启动,8h,2026-03-01,T027;T050,通知服务代码,
T060,后端开发,管理后台,小技💻,P1,⏳待启动,16h,2026-03-01,T050-T056,管理后台代码,内容审核+用户管理
T061,后端开发,API文档,小技💻,P1,⏳待启动,6h,2026-03-01,T051-T059,Swagger/OpenAPI文档,
T062,区块链/Web3,SPL Token创建（Token-2022标准）,链鹰🦅,P0,⏳待启动,4h,2026-02-25,,Token地址,Devnet先测
T063,区块链/Web3,多签钱包部署（Squads）,链鹰🦅,P0,⏳待启动,4h,2026-02-25,,多签钱包地址,3/5多签
T064,区块链/Web3,Vesting合约开发,链鹰🦅,P1,⏳待启动,16h,2026-03-10,T062,Vesting合约代码,团队/投资人锁仓
T065,区块链/Web3,DEX流动性池部署（Raydium）,链鹰🦅,P1,⏳待启动,8h,TGE前,T062,LP池地址,TGE时部署
T066,区块链/Web3,LP锁定,链鹰🦅,P1,⏳待启动,4h,TGE前,T065,LP锁定证明,
T067,区块链/Web3,挖矿分发合约,链鹰🦅,P1,⏳待启动,16h,2026-03-15,T062,分发合约代码,Phase2
T068,区块链/Web3,回购销毁合约,链鹰🦅,P2,⏳待启动,8h,2026-03-20,T062,回购合约代码,Phase2
T069,区块链/Web3,积分→Token兑换合约,链鹰🦅,P1,⏳待启动,12h,TGE前,T062;T053,兑换合约代码,Phase2核心
T070,区块链/Web3,钱包连接集成（Phantom/Solflare）,链鹰🦅,P0,⏳待启动,8h,2026-02-26,T062,钱包适配代码,与前端协作
T071,区块链/Web3,合约测试（Devnet全流程）,链鹰🦅,P0,⏳待启动,12h,2026-02-28,T062-T070,测试报告,
T072,区块链/Web3,合约审计,链鹰🦅,P1,⏳待启动,8h,TGE前,T071,审计报告,可找第三方
T073,安全,反女巫系统设计（身份验证+行为检测）,小黑🔒,P0,⏳待启动,16h,2026-02-27,,反女巫方案+代码,防刷积分
T074,安全,Web安全加固（CSP/CSRF/XSS防护）,小黑🔒,P0,⏳待启动,8h,2026-02-28,T030,安全配置,
T075,安全,API安全（限流/JWT认证/IP白名单）,小黑🔒,P0,⏳待启动,8h,2026-02-28,T049,API安全配置,
T076,安全,钱包安全方案（多签/冷存储SOP）,小黑🔒,P0,⏳待启动,8h,2026-02-25,T063,钱包安全SOP,
T077,安全,数据隐私合规（GDPR）,小黑🔒,P1,⏳待启动,8h,2026-03-01,,GDPR合规方案,
T078,安全,安全审计（上线前全面审查）,小黑🔒,P0,⏳待启动,12h,2026-03-01,T073-T077,安全审计报告,
T079,安全,Bug Bounty计划制定,小黑🔒,P2,⏳待启动,4h,2026-03-05,,Bug Bounty规则文档,上线后启动
T080,内容与运营,白皮书定稿（中英文）,墨笔✍️,P0,🔄执行中,16h,2026-02-24,T002;T013,白皮书终稿PDF,
T081,内容与运营,品牌叙事文档,墨笔✍️,P0,⏳待启动,8h,2026-02-23,,品牌故事文档,统一对外口径
T082,内容与运营,首批AI学习课程制作（10课）,墨笔✍️,P0,⏳待启动,40h,2026-03-01,,10个课程内容,Phase1上线内容
T083,内容与运营,首批AI学习课程制作（11-20课）,墨笔✍️,P1,⏳待启动,40h,2026-03-10,T082,10个课程内容,上线后持续补充
T084,内容与运营,Twitter账号建立+内容策略,财奴💰,P0,⏳待启动,4h,2026-02-22,T014,Twitter账号+内容日历,
T085,内容与运营,Discord服务器搭建,财奴💰,P0,⏳待启动,6h,2026-02-23,T014,Discord服务器,频道+角色+规则
T086,内容与运营,Telegram社区群搭建,财奴💰,P0,⏳待启动,4h,2026-02-23,T014,TG群,
T087,内容与运营,预热内容策划（倒计时/预告/Teaser）,财奴💰,P0,⏳待启动,8h,2026-02-24,T081;T084-T086,预热内容排期表,3/2前10天开始
T088,内容与运营,KOL合作列表+接洽,财奴💰,P1,⏳待启动,12h,2026-02-27,,KOL清单+合作方案,
T089,内容与运营,社区规则制定,财奴💰,P1,⏳待启动,4h,2026-02-24,,社区公约文档,
T090,内容与运营,AI社区种子内容准备,墨笔✍️,P1,⏳待启动,8h,2026-02-28,T082,种子帖子/讨论,
T091,内容与运营,宣传视频/动画制作,首席设计师🎨,P1,⏳待启动,16h,2026-02-28,T006;T007,宣传视频,60秒介绍视频
T092,内容与运营,新闻稿/PR撰写+分发,墨笔✍️,P1,⏳待启动,8h,2026-03-01,T081,新闻稿+分发渠道,
T093,法务与合规,基金会注册地选择,小算盘🧮,P0,🔄执行中,8h,2026-02-22,,选地分析报告,BVI/Cayman/Panama
T094,法务与合规,基金会注册+文件,小算盘🧮,P0,⏳待启动,16h,2026-03-15,T093,基金会注册证书,流程需2-4周
T095,法务与合规,用户协议撰写,小算盘🧮,P0,⏳待启动,8h,2026-02-26,,用户协议文档,中英双语
T096,法务与合规,隐私政策撰写,小算盘🧮,P0,⏳待启动,6h,2026-02-26,,隐私政策文档,GDPR合规
T097,法务与合规,Token法律意见书,小算盘🧮,P1,⏳待启动,12h,TGE前,,法律意见书,Phase2
T098,法务与合规,代币销售合规方案,小算盘🧮,P1,⏳待启动,8h,TGE前,T097,合规方案,
T099,法务与合规,知识产权注册（商标/域名）,小算盘🧮,P1,⏳待启动,6h,2026-03-05,,商标申请+域名证书,
T100,财务,运营预算制定与确认,小算盘🧮,P0,🔄执行中,8h,2026-02-22,,预算表,
T101,财务,初始资金到位确认,小算盘🧮,P0,⏳待启动,4h,2026-02-25,T100,资金到位确认,
T102,财务,支付渠道接入（法币+Crypto）,小算盘🧮,P1,⏳待启动,8h,2026-03-05,,支付集成,Stripe+Crypto
T103,财务,财务记账系统搭建,小算盘🧮,P1,⏳待启动,6h,2026-03-01,,记账系统,
T104,测试与上线,功能测试计划制定,小技💻,P0,⏳待启动,4h,2026-02-26,,测试计划文档,
T105,测试与上线,前端功能测试（全模块）,小技💻,P0,⏳待启动,16h,2026-03-01,T031-T045,测试报告,
T106,测试与上线,后端API测试,小技💻,P0,⏳待启动,12h,2026-03-01,T051-T059,测试报告,
T107,测试与上线,安全测试（渗透测试）,小黑🔒,P0,⏳待启动,8h,2026-03-01,T078,渗透测试报告,
T108,测试与上线,性能测试（压测）,小技💻,P1,⏳待启动,6h,2026-03-01,T105;T106,性能测试报告,
T109,测试与上线,内测邀请（白名单50-100人）,财奴💰,P0,⏳待启动,4h,2026-02-28,,白名单+邀请链接,
T110,测试与上线,Bug修复（内测反馈）,小小技🔨,P0,⏳待启动,16h,2026-03-01,T109,Bug修复记录,
T111,测试与上线,域名购买+DNS配置,小技💻,P0,⏳待启动,2h,2026-02-23,,域名+DNS,
T112,测试与上线,CDN+服务器部署,小技💻,P0,⏳待启动,6h,2026-02-25,T111,部署配置,Vercel/AWS
T113,测试与上线,正式上线（Phase1积分期）,小嘀嗒💫,P0,⏳待启动,4h,2026-03-02,全部P0项,上线公告,🎯目标日
T114,Telegram Bot,Bot功能开发（积分查询/钱包绑定/挖矿进度）,小小技🔨,P0,⏳待启动,16h,2026-02-27,T053,Bot代码,
T115,Telegram Bot,Bot通知功能（挖矿奖励/系统公告）,小小技🔨,P1,⏳待启动,6h,2026-02-28,T114;T059,Bot通知代码,
T116,Telegram Bot,Bot测试,小小技🔨,P0,⏳待启动,4h,2026-02-28,T114,测试报告,
T117,Telegram Bot,Bot上线,小小技🔨,P0,⏳待启动,2h,2026-03-02,T116,Bot在线,与主站同步上线
T118,内容与运营,上线日社交媒体轰炸,财奴💰,P0,⏳待启动,4h,2026-03-02,T113;T087,发布内容,全平台同步
T119,产品设计,MVP功能范围确认（Phase1最小集）,小嘀嗒💫,P0,🔄执行中,4h,2026-02-21,,MVP范围文档,明确3/2必须上的功能
T120,战略与规划,Phase2规划（TGE准备清单）,经济师📊,P1,⏳待启动,8h,2026-03-05,T113,Phase2计划文档,上线后启动
